participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
6090,0,0,30,17,9,0,0,1,0,1,1,1,-1,1,1,1,1,1,,,,,,-1,,-1,,,,1,-1,1,,-1,-1,,,-1,,1,,1,,,1,,,,-1,1,1,-1,,1,,,0,,
6096,1,0,12,8,4,-1,,,1,1,,,,,,-1,1,1,,,,,,,,1,,,,-1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,-1,,
6097,0,0,30,12,9,0,0,-1,0,0,0,0,0,1,1,1,1,1,,,,,,1,,-1,,,,1,-1,-1,,-1,-1,,,-1,,1,,1,,,1,,,,0,0,1,-1,,1,,,-1,,
6100,0,0,30,10,13,-1,0,-1,0,-1,-1,1,-1,1,1,-1,1,1,,,,,,0,,0,,,,1,1,-1,,1,-1,,,-1,,0,,-1,,,0,,,,0,-1,1,-1,,1,,,-1,,
6105,0,0,30,9,4,1,0,1,0,0,-1,0,0,0,1,0,1,1,,,,,,1,,0,,,,0,0,-1,,0,0,,,0,,0,,1,,,0,,,,0,-1,1,0,,1,,,-1,,
6107,0,0,30,5,4,0,0,0,0,0,0,1,-1,1,1,0,0,1,,,,,,0,,-1,,,,0,0,0,,-1,0,,,0,,0,,0,,,0,,,,0,0,0,0,,1,,,-1,,
6111,0,0,17,6,11,-1,-1,,,-1,1,-1,-1,1,1,-1,1,1,,,,,,-1,,-1,,,,-1,,,,-1,,,,-1,,,,,,,,,,,,,1,,,,,,,,
6120,0,0,30,13,4,0,0,1,0,1,0,1,-1,1,1,0,1,1,,,,,,0,,0,,,,0,-1,0,,1,0,,,-1,,1,,1,,,1,,,,0,0,1,-1,,1,,,0,,
6126,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6128,0,0,8,0,0,0,,0,,0,,,,0,,,0,,,,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
6130,0,0,16,11,4,1,1,,-1,1,1,-1,-1,1,1,,,,,,,,,,,0,,,,1,1,1,,,,,,-1,,,,,,,,,,,,,,1,,1,,,,,
6139,0,0,9,6,2,0,,,,,1,,-1,1,1,1,,,,,,,,,,,,,,1,,,,-1,,,,,,,,1,,,,,,,,,,,,,,,,,
6140,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6147,,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6154,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,1,0,0,,0,0,,,0,,0,,0,,,0,,,,0,0,0,0,,0,,,0,,
6155,0,0,14,5,3,-1,0,,,,,,0,1,1,,1,1,,,,,,,,,,,,-1,0,,,,,,,,,0,,-1,,,0,,,,0,,,,,1,,,,,
6158,0,0,18,7,8,0,1,,0,-1,0,-1,,1,1,,1,1,,,,,,-1,,-1,,,,1,,-1,,-1,,,,-1,,1,,,,,-1,,,,,,,,,,,,,,
6160,0,0,30,14,13,-1,1,1,1,0,-1,1,-1,1,1,-1,1,1,,,,,,-1,,-1,,,,-1,1,-1,,1,-1,,,0,,0,,-1,,,1,,,,-1,-1,1,1,,1,,,-1,,
6162,0,0,28,9,3,1,1,1,1,0,0,0,0,0,0,0,0,1,,,,,,1,,0,,,,0,0,0,,0,,,,0,,1,,-1,,,-1,,,,0,,1,0,,1,,,-1,,
6165,0,0,30,11,9,-1,1,-1,1,1,0,1,1,0,0,-1,0,1,,,,,,-1,,0,,,,1,1,0,,-1,0,,,-1,,0,,1,,,0,,,,0,-1,1,-1,,-1,,,1,,
6167,0,0,30,17,6,1,0,1,0,1,0,1,0,1,1,1,1,1,,,,,,1,,-1,,,,0,1,1,,-1,0,,,-1,,1,,0,,,1,,,,-1,-1,1,-1,,1,,,1,,
6180,0,0,7,5,0,1,,,,,1,,,,1,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,
6183,0,0,14,3,0,0,0,,,0,,0,,,,0,0,1,,,,,,0,,0,,,,,0,1,,,,,,,,,,0,,,,,,,,,,,,1,,,0,,
2,,0,4,1,2,,-1,,-1,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1,11,5,2,,1,,,,-1,,0,,1,1,,1,,,,,,0,,,,,,1,-1,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,
19,0,0,10,7,1,,1,,1,1,0,,,,1,0,,1,,,,,,1,,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,11,2,2,,-1,,0,,0,0,0,1,0,-1,0,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
