participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
83,1,0,51,35,13,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,-1,1,0,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,0,,1,,1,,1,1,1,,,
84,1,0,51,30,13,1,,,0,1,1,1,-1,-1,1,0,1,,1,,1,1,1,1,1,,1,0,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,0,-1,1,1,1,1,1,0,0,,0,,-1,,0,1,1,,,
85,1,0,51,33,12,1,,,1,1,1,1,-1,-1,-1,1,1,,1,,1,1,1,1,1,,1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,-1,1,1,1,0,1,1,1,1,,1,,0,,1,1,1,,,
86,1,0,51,24,13,1,,,1,1,1,1,-1,0,0,0,0,,1,,0,1,1,1,1,,1,1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,0,-1,0,-1,,,,,,,,,,,,,,,,,,,-1,0,0,1,1,1,1,0,0,,1,,0,,0,0,1,,,
87,1,0,51,34,13,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,-1,0,1,0,1,-1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,-1,,1,,0,,-1,1,1,,,
88,1,0,51,38,12,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,0,1,-1,1,,1,,1,,1,-1,1,,,
90,1,0,51,35,16,1,,,1,1,1,-1,-1,1,1,1,-1,,1,,1,1,1,1,1,,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,-1,1,,1,,1,,-1,1,1,,,
91,1,0,51,32,17,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,0,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,-1,-1,1,0,,1,,-1,,1,1,1,,,
92,1,0,51,38,12,1,,,1,1,0,1,-1,-1,1,1,-1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,1,,1,,1,,1,1,1,,,
93,1,0,51,37,12,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,-1,1,1,1,,1,,0,,1,1,1,,,
94,1,0,51,36,15,1,,,1,1,-1,1,-1,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,-1,1,-1,1,1,1,,1,,1,,1,1,1,,,
95,1,0,34,17,11,1,,,-1,,-1,1,-1,0,,0,0,,1,,,1,1,0,0,,,,1,,1,-1,1,,1,-1,1,1,-1,1,,-1,,1,,1,-1,,,,,,,,,,,,,,,,,,,-1,,,1,1,-1,,0,,,,,,,-1,1,,,,
96,1,0,51,35,16,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,1,,1,,-1,,1,1,1,,,
97,0,0,51,19,19,1,,,1,1,0,1,-1,0,-1,-1,-1,,1,,-1,1,-1,1,0,,-1,-1,1,1,0,-1,1,1,1,-1,0,0,-1,-1,-1,-1,-1,1,0,1,0,,,,,,,,,,,,,,,,,,,-1,-1,1,-1,1,0,0,1,1,,-1,,0,,0,0,1,,,
99,1,0,51,29,16,1,,,1,1,1,1,-1,-1,0,1,-1,,1,,1,1,1,1,1,,0,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,,,,,,,,,,,,,,,,,,,-1,1,1,0,1,1,0,1,1,,1,,0,,1,1,1,,,
102,1,0,51,35,14,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,-1,0,1,1,1,1,1,1,1,,1,,1,,1,0,1,,,
104,1,0,21,15,5,1,,,1,1,1,1,-1,,1,,1,,,,-1,,,1,,,,,1,,1,-1,1,,1,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,0,,,,,,,,,
107,1,0,51,37,14,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,-1,1,1,,1,,1,,1,1,1,,,
110,1,1,52,37,11,1,,,-1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,0,,0,,1,,1,1,1,,,1
111,1,0,15,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,-1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,,,-1,,,,1,,1,,,
112,1,0,51,36,15,1,,,1,1,1,-1,-1,-1,1,1,-1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,1,,1,,-1,,1,1,1,,,
114,1,0,51,33,14,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,0,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,0,1,1,1,1,1,1,0,,1,,0,,1,-1,1,,,
