participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
79,1,0,30,14,12,-1,1,0,-1,-1,-1,-1,0,0,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,
80,1,0,30,15,9,-1,1,0,0,1,-1,-1,0,0,1,-1,1,1,1,1,0,1,1,1,1,0,1,-1,-1,1,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,
81,1,0,30,13,14,-1,1,0,-1,-1,-1,-1,1,-1,1,-1,1,0,1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,0,-1,,,,,,,,,,,,,,,,,,,,
82,0,0,30,14,13,-1,1,-1,-1,-1,-1,0,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
83,1,0,24,11,9,-1,,0,-1,,-1,-1,1,,0,-1,1,-1,1,1,1,,1,1,,0,,1,-1,1,0,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,
87,0,0,30,14,11,-1,1,-1,-1,1,-1,-1,-1,1,1,0,0,0,1,1,1,1,1,1,1,-1,0,1,-1,0,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,
88,0,0,11,4,6,-1,,,-1,-1,,0,,,-1,-1,1,-1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
89,1,0,26,13,8,-1,1,0,-1,-1,-1,,1,,1,0,1,-1,1,1,-1,1,0,1,1,1,,0,0,-1,1,-1,,1,1,,,,,,,,,,,,,,,,,,,,
90,1,0,30,18,11,-1,1,0,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,
91,0,0,30,12,15,-1,1,-1,1,1,-1,-1,-1,0,-1,-1,1,1,0,1,-1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,
93,1,0,30,15,15,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,
94,0,0,30,13,17,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,
